Organization,Date_Time,Latitude,Longitude,MSLP (hPa),MWS (Knot)
NHC,2021-08-28 06:00:00,13.7,-49.8,1007,30.0
NHC,2021-08-28 12:00:00,14.5,-50.0,1007,30.0
NHC,2021-08-28 18:00:00,15.2,-50.0,1007,30.0
NHC,2021-08-29 00:00:00,16.2,-49.9,1007,30.0
NHC,2021-08-29 06:00:00,17.3,-50.0,1007,30.0
NHC,2021-08-29 12:00:00,18.4,-50.2,1008,30.0
NHC,2021-08-29 18:00:00,19.2,-50.3,1008,30.0
NHC,2021-08-30 00:00:00,19.8,-50.5,1008,30.0
NHC,2021-08-30 06:00:00,20.5,-50.6,1006,35.0
NHC,2021-08-30 12:00:00,21.3,-50.8,1004,40.0
NHC,2021-08-30 18:00:00,22.1,-50.9,1006,35.0
NHC,2021-08-31 00:00:00,22.6,-50.9,1006,35.0
NHC,2021-08-31 06:00:00,22.8,-50.9,1006,35.0
NHC,2021-08-31 12:00:00,23.2,-50.9,1007,30.0
NHC,2021-08-31 18:00:00,23.9,-50.9,1007,30.0
NHC,2021-09-01 00:00:00,24.6,-51.2,1009,25.0
NHC,2021-09-01 06:00:00,25.3,-51.5,1007,30.0
NHC,2021-09-01 12:00:00,26.6,-52.3,1007,30.0
NHC,2021-09-01 18:00:00,28.0,-52.7,1014,25.0
