Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,11.119508372419453,8.0,-34.0
6.0,11.1195083724191,7.0,-29.0
12.0,24.630524672881755,7.0,-25.0
18.0,33.540714390403686,8.0,-18.0
24.0,74.36527969359155,13.0,-25.0
30.0,96.6339187234349,12.0,-28.0
36.0,93.61497934037149,12.0,-27.0
42.0,103.52865444892068,9.0,-21.0
48.0,115.64603664102866,10.0,-18.0
54.0,112.0136344313347,7.0,-23.0
60.0,125.60676766109931,4.0,-14.0
66.0,143.70368641421294,1.0,-11.0
72.0,166.0098376168281,-4.0,-5.0
78.0,169.97120258531814,-3.0,-15.0
